@RELATION 	Feature21

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"אני לא מתחרט לרגע על שקניתי את הנוט 4 שלטעמי הוא המלך של הפלאפונים בשוק כרגע עד להכרזות הבאות של סמסונג ומתחרותיה תמיד הטכנולוגיה מתקדמת אך לא צריך להחליף פלאפונים כמו גרביים ולהצטער אם ראית פתאום מכשיר חדש שצץ תמיד יהיה כך",Positive
"אך לטעמי הפלאפון הזה יכול בשקט להיות איתי ב3 השנים הקרובות לפחות",Positive
"מכשיר שלישי של אחרי הגלקסי ארבע והוא בשימוש אצלי יומיים מכשיר מדהים",Positive
"מכשיר מצוין מומלץ ומתאים גם לאומנים מתחרה חזק למכשירים אחרים",Positive
מעולה,Positive
"לא מצטער שקניתי אותו",Positive
"נרכש לפני פחות משבוע מאוד נח",Positive
"והוא המכשיר הכי טוב לאנשים שכותבים הרבה ומוכנים לשלם הרבה בשביל העט המדהים",Positive
"אני חייב להגיד שהטלפון הזה הוא השיא של כל מה שהטכנולוגיה צריכה להיות",Positive
"אני לא חושב שצריך באמת טלפונים מעבר למפרט והאיכות בנוט 4",Positive
"לסיכום הפלאפון טוב ומספק את הצרכים שלי היטב",Positive
"הפלאפון המולשם",Positive
"מכשיר מצויין מסך גדול עד עכשיו ללא תקלות",Positive
"מכשיר מדהים עובד חלק עושה הכל חוץ מקפה גלישה מצוינת טלפון נהדר אפליקציות עובדות מצויין",Positive
"מכשיר מעולה מכל הבחינות מסך איכותי וגדול אך לא יותר מידי גדול",Positive
"בגדול טלפון טוב מאוד הסמארטפון עדיין פופולארי למרות שהדגם הוא בן שנתיים",Positive
"נחשב כהסמארטפון האמין ביותר מכל סדרת ה גלקסי s",Positive
"מכשיר מעולה",Positive
"טלפון מדהים",Positive
"אבל הטלפון מצויין",Positive
"טלפון סבבה וזול למחיר שלו",Positive
"מכשיר מעולה",Positive
"אצלי כבר חודשיים ואני מאוד מרוצה",Positive
"טלפון מצוין יש לי אותו שבוע ואני ממש מרוצה עברתיאחרי שנה שהיה לי אייפון ואני ממליץ על הגלקסי5 הוא נוח וקל לתפעול לא מסובך מדי והכל פתוח וחופשי ללא כל המגבלות שיש באפל",Positive
"מתחמם קצת הסמארטפון הטוב ביותר",Positive
"רכשתי את המכשיר לאחר הרבה התלבטויות אם לקנות אותו בגלל המחיר ובגלל איטיות שמאפיינת את מכשירי סמסונג אבל חייב לציין שאני מרוצה מאוד",Positive
"התכונות שלו מייחדות אותו משאר המכשירים המובילים בשוק",Positive
"וגם חסרונות עבר של סמסונג לא באים לידי ביטוי בדגם הזה סמסונג הפיקה לקחים",Positive
"טלפון טוב ממש מציאה למחיר שלו ממש מהיר לא נתקע בכלל",Positive
"אני ממליץ לכל אחד שרוצה פלאפון טוב לקנות את זה",Positive
"פלאפון מדהים מבית אפל לא כמו שאר המעתיקנים",Positive
"מצויין יותר מהדגם הקודם",Positive
"מאוד שמח שקניתי את טלפון זה ולא משהו אחר",Positive
"ממליץ לכולם להתנסות",Positive
"שורה תחתונה מומלץ",Positive
"קניתי את האייפון 5 ואני מאוד מרוצה",Positive
"מכשיר נחמד עברתי מהs2 למכשיר הזה והשינוי ניכר",Positive
"קניתי את האייפון 5 שלי לפני כחודש היה לי אייפון 4 ועברתי לאייפון 5 והמכשיר הזה פשוט מדהים",Positive
"ממליץ בחום",Positive
"רכשתי את האייפון חמש למרות שעד עכשיו הייתי רגי ל אנדרואיד ואני חייב לציין שיש פשוט משמעות אדירה אני מרוצה ולכל מי שחושב שיש בו באגים וכו אז ממש לא מכשיר מתפקד מצויין במיוחד עם הגירה החדשה שיצאה לא מיזמן 6 1",Positive
"מכשיר מצויין",Positive
"רכשתי האיפון 5 ביום ההשקה הראשון 13 12 2012אחרי אינסוף התעניינות וסקירות מקצועניות באתרים ישראלים ומחו ל והפתעתי היתה תואמת המציאות לחיוב כמובן",Positive
"לבסוף אחרי שהרגשתי ביד את המכשיר הבנתי שזה המכשיר הבא שלי המהירות האיכות והיוקרה של האייפון פשוט לא משתווה לשום מכשיר אנדרואיד",Positive
"אתחיל דווקא מהמסקנה הסופית שלי מכשיר מושלם",Positive
"פלאפון מצויין מהיר טוב עם מלא אפשרויות ממליץ בחום גם מלא אפליקציות ומלא משחקים",Positive
"ראיתי כאן המלצות חמות של אנשים רבים ורציתי לקנות את הטלפון הכי טוב בשוק דאז",Positive
"עוצמתי כל כך",Positive
"מכשיר פרימיום מהיר חזק איכותי מאוד",Positive
"במילה אחת וואוו",Positive
"אני מרוצה ממנו מאוד",Positive
"הוא פשוט שווה כל שקל",Positive
"מצלמה מעולה מכשיר יפה בקיצור כל מה שצריך במכשיר דגל",Positive
"מכשיר טוב אבל עדין בטירוף גם עם כיסוי של אוטר נסרף המסך תוך שבועיים אלוהים יודע למה",Positive
"מכשיר מעולה ונוח לשימוש",Positive
"טלפון מצין",Positive
"אני מאוד ממליצה פשוט קניה טובה",Positive
"המכשיר מ ד ה י ם",Positive
"אני ממליץ עליו בחום לכל מי מהחברים והמשפחה שלי שרוצה לקנות מכשיר חדש",Positive
"מומלץ בחום רב",Positive
"סמל סטטוס",Positive
"גלאקסי 5? פשוט בדיחה לידו",Positive
"מכשיר אמין וחזק",Positive
"טלפון מעולה זול יחסית",Positive
"לפי דעתי אין בפלאפון שום בעיות מסך מגע טוב יחסית גדול אבל בכל זאת נכנס בכיס",Positive
"המכשיר מצוין המצלמה עם ה8 מגה פיקסל מצוינת ויותר טובה מהגלקסי 3",Positive
"קניתי אותו לפני שנה כמתנה לאחותי הקטנה והיא ממש אהבה אותו",Positive
"הפלאפון אמין וטוב",Positive
"ללא ספק המכשיר הטוב ביותר הקיים בשוק נכון להיום",Positive
"נרכש לפני כחודשיים וחצי ובהחלט אפשר להגיד שהוא מקיים את כל ההבטחות",Positive
"מאד מומלץ",Positive
"אני רכשתי את הטלפון שלי בקיץ והוא מחזיק מעמד היטב שום תקלות ובאמת טלפון מעולה ומקבלים תמורה טובה למחיר",Positive
"כל היתרונות של גלקסי 3",Positive
"קניתי כמה כאלו כבר לעובדות שלי הן סה כ מאוד מרוצות כי כל סמארטפון יהיה להן נהדר אחרי נוקיה מהעשור הקודם",Positive
"יש לו היכולת לעשות כל מה שאייפון או גלקסי 3 עושים למעט החסרונות בתחתית",Positive
"חוץ מזה כל היתרונות של מערכת פתוחה של אנדרואיד ושל טלפון הדגל לשעבר של סמסונג אני נהנה מכל דקה איתו",Positive
"קניתי אותו ואני מרוצה מכל רגע",Positive
"לדעתי הוא המכשיר הטוב שקיים היום בשוק",Positive
"קניתי לפני כחודשיים את המוצר ואני מאוד נהנת ממנו",Positive
"שוה לקנות",Positive
"מכשיר טוב מאוד אפשר להגיד אפילו מעולה בהשוואה למחיר",Positive
"סה כ מכשיר מעולה",Positive
"מגיע עם מפרט די מרשים",Positive
"השימוש במכשיר זורם מאוד יפה",Positive
"קניתי את המכשיר לפני שבוע ואני מאד מרוצה ממנו",Positive
"מכשיר מצויין",Positive
"פלאפון מעולה עובד מצויין כל משפחתי קנתה אותו והוא פשוט מומלץ",Positive
"לדעתי כל מי שצריך פלאפון שהוא טוב לא חזק מידי זה הפלאפון המושלם בישבילו",Positive
"באופן כללי פלאפון טוב אבל לא לאנשים שרוצים הרבה ולא מסתפקים במועט",Positive
"מומלץ מאוד",Positive
"טלפון מעולה מגיב מהיר אלגנטי",Positive
"אחלה טלפון כדאי לקנות",Positive
"מומלץ במיוחד כטלפון עבודה ניתן לאכסן בו כמעט כל מסמך חיבור למדפסת וכו",Positive
"מכשיר שהוא פשוט תענוג",Positive
"טלפון בסך הכל טוב",Positive
"קניתי את המוצר ב 23 למאי 2014 ואז רק נהנה",Positive
"פלאפון מאוד נחמד דומה לnote 3 הרגיל אבל יש גם שונה",Positive
"טלפון מעולה",Positive
"לסיכום טלפון מצויין",Positive
"מכשיר תותח",Positive
"סיכום מדובר במכשיר המהווה קפיצת דרך טכנולוגית",Positive
"היה לי איפון חמש וחצי שנים והוא הרבה יותר טוב מכל בחינה ורמה",Positive
"מכשיר מפלצתי בתכונות שלו ואין ספק שמדובר במכשיר הטוב בעולם נכון לכתיבת שורות אלה",Positive
"טלפון מהמם",Positive
"מכשיר פצצה קניתי מחול",Positive
"מכשיר מצויין התרשמתי ממנו מאוד לטובה",Positive
"מכשיר נהדר אין כמו מכשיר זה איכותי 4 אינצ",Positive
"פלאפון מדהים",Positive
"אחרי חודש של התנסות עמוקה עם המכשיר גיליתי מה הפסדתי כה הרבה זמן",Positive
"יש לציין לשבח את lg על האוזן הקשבת כלפי הלקוחות שלה מדורות קודמים",Positive
"לכל אורך השנים lg הקסימה אותנו עם מוצרים אמינים ונפלאים לבית לכן התפלאתי כיצד איננה עוד לא פרצה לתחום הסלולר",Positive
"מוצר מעולה",Positive
"בחרתי במוצר זה בגלל המצלמה 13 מגה פיקסל ובגלל שרציתי פלאפון עם שטח אחסון גדול",Positive
"טלפון אדיר ללא ספק הסארטפון הטוב ביותר היום בשוק",Positive
"עברתי מאייפון ולמרות שאמי מאוד מאוד מתגעגעת לאייפון המכשיר הזה לא אכזב",Positive
"מכשיר מדהים",Positive
"פלאפון מעולה",Positive
"ממליץ מאוד לקנות את המכשיר",Positive
"המכשיר הכי טוב בשוק בלי ספק",Positive
"הטלפון מדהים אצלי כארבעה חודשים ממליץ עליו בחום",Positive
"ביחס למוצרים שקיימים היום בשוק אין יותר טוב ממנו",Positive
"פלאפון מעולה מדהים מהמם כל מילה מיותרת",Positive
"סמסונג גלקסי ס4 samsung galaxy s4 הוא טלפון שמאוד האבתי",Positive
"ציפיתי לטלפון בינוני אך זה היתגלה כטלפון מצוין",Positive
"לסיכום זהו טלפון מאוד טוב אני ממליץ לכולם שמבינים בטלפונים את הטלפון הזה",Positive
"הטלפון מדהים אצלי כ8 חודשים ממליץ עליו בחום",Positive
"רמה גבוה מאוד",Positive
"הגלקסי אס 4 נמצא בקידמת הטכנלוגיה ולא נראה לי שיהיו שיפורים יוצאי דופן בשנתיים הבאות",Positive
"בסה״כ מכשיר טוב ואיכותי",Positive
"אני אישית לא אוהב את הפלאפונים של lg אבל הסדרה הזאת היא ההצלחה הגדולה",Positive
"שורה תחתונה סה כ שווה שדרוג",Positive
"מכשיר מצוין מהיר ואין תקיעות",Positive
"הטלפון הכי טוב שהיה לי הוא טלפון מהיר נורא מסך מגע מושלם מושלםם כול הפלוסים והמינוסים למטה",Positive
"מכשיר שכל שקל שווה בישבילו האיכות מצויינת אותו דבר גם המצלמה",Positive
"אחלה מכשיר מאוד נהניתי ממנו",Positive
"מתאים לכולם יש בו הרבה גימיקים נחמדים",Positive
"הטלפון הכי טוב בעולם",Positive
"פלאפון מעולהה מסך חד ומקסים אהבתי את הgoogle now",Positive
"ללא ספק המכשיר המתקדם ביותר שקיים היום",Positive
"מעולה למשחקים",Positive
"סה כ ממליץ מאוד על הנייד הזה למי שלא מחפש חללית בכיס אלא פלאפון נייד שהוא גם חדשני גם פרקטי וגם זול",Positive
"קניתי את המכשיר הזה לפני כמה ימים ואני חושב שהמכשיר הזה הוא המכשיר הכי טוב שהיה אי פעם אצלי",Positive
"מומלץ לקנייה",Positive
"אני ממליץ מאוד לקנות את הטלפון הזה",Positive
"אולי המכשיר הפופולארי ביותר של סמסונג",Positive
"מכשיר ותיק שאוכיח את עצמו מעל ומעבר",Positive
"הגעתי לחנות כשאני יודע איזה מכשיר אני רוצה לקנות עקבתי אחריו במשך תקופה ולא הצטערתי לרגע",Positive
"פלאפון מצויין היה ברשותי כמעט שנתיים",Positive
"סמסונג עשתה עבודה טובה אפשר להגיד",Positive
"טלפון טוב אחלה מצלמה עמיד מעבד טוב וטלפון עם מעבד מהיר",Positive
"אין ספק שזהו פלאפון טוב בתור אחד שיש לו אותו ובתור אחד שמכיר מישהו שיש לו galaxy 4 אין הבדל כמעט בכלום",Positive
"המכשיר די טוב",Positive
"איכות מעולה עושה עבודה טובה לפעמים נתקע עשה בהתחלה רושם של מכשיר פצצה אבל תמיד יש חסרונות וזה ידוע",Positive
"מכשיר מעולה מהיר עם ביצועים טובים",Positive
"אני מאוד אהבתי את הטלפון",Positive
"מכשיר מעולה כבר אצלי חצי שנה ואין מילים ממש טוב",Positive
ממליץ,Positive
"מכשיר פצצה",Positive
"בגדול מכשיר כיפי",Positive
"לא רואה אף מכשיר אחר ממטר",Positive
"קניתי את במכשיר לפני כמה ימים מכשיר מדהיםםםם",Positive
"מכשיר הדגל של חברת lg מכשיר מצויין פשוט אין מילים",Positive
"המכשיר הכי טוב שראיתי עד היום מכל הבחינות",Positive
"ממליץ לכולם",Positive
"מכשיר מעולה",Positive
"יש לי גם את המכשיר גלקסי נוט והוא נהדרר",Positive
"בסה כ אחלה מכשיר ממליץ",Positive
"המכשיר חביב נוח לשימוש אפליקציות מדהימות מצלמה מאוד איכותי ממליץ לכל אחד לרכוש במידת האפשר לטעמי הנייד האולטמטיביב",Positive
"לסיכום מכשיר מעולה נוח ושווה כל שקל על אף שהוא מאד יקר",Positive
"אני חושב שהאייפון 4s הוא פלאפון מצויין סירי עובדת מדהים היא עונה לכל שאלה כמעט ואם היא לו יכולה היא מפנה אותך לאינטרנט",Positive
"מומלץ בחום למי שמחפש טלפון טוב במחיר סביר",Positive
"מכשיר מדהים",Positive
"ישנם אנשים שאומרים אחרת אך טועים המכשיר מכשיר מעולה",Positive
"קניתי את המכשיר ב29 לנובמבר ואני מאוד מרוצה ממנו",Positive
"קניתי את המכשיר לפני שנה ועד לפני חודש הייתי מרוצה מאוד ועכשיו הוא מתחיל קצת להתקע",Positive
"המכשיר שעולה יש בו מצלמה מצוינת עדיף לקנות מאשר לקנות מכשירים כמו אייפון או htc one",Positive
"עדיף ליקנות אותו מאשר מכשירים חדשים כמו ה s3 mini",Positive
"אחלה מכשיר",Positive
"למי שלא צריך יותר מזה אני בהחלט ממליץ",Positive
"מכשיר מעולה נקי וזק פשוט ומאוד קל במשקל ונוח לשימור",Positive
"קבלתי מהעבודה את הטלפון ואני מרוצה מאוד",Positive
"מכשיר מעולה",Positive
"ממליץ בחום",Positive
"טלפון מעולה",Positive
"מכשיר אצלי חודשיים בלבד אבל נהנה ממנו מאוד",Positive
"למשתמש רגיל וזה רוב האנשים ממש לא צריך מכשיר אחר יש בו הכל",Positive
"טלפון עם מערכת הפעלה של אנדרואיד לוקח קצת זמן להתרגל לכל הפונקציות שלו אבל בגדול טלפון מצוין יחסית למחירו",Positive
"אחלה מכשיר",Positive
"מכשיר מעולה",Positive
"כמה שהשתמשתי בו נדהמתי יותר ויותר",Positive
"כרגע מכשיר לא הכי מעולה בשוק אבל עדיין מכשיר מצויין",Positive
"מכשיר איכותי מאוד שמצדיק את היותו מכשיר דגל של החברה",Positive
"רכשתי את המכשיר אני מאוד מרוצה צריך סבלנות זה דבר עדין",Positive
"קניתי את המכשיר לפני שבועיים והוא נפלא אני לא מפסיק להתפעל ממנו",Positive
"פלאפון מעולה ממש נוח לאחיזה למרות גודל המסך הגדול שלו",Positive
"מאוד קל לתפעל את המכשיר לוקח מקסימום יום למידה העיצוב יפה מאוד בחרתי בצבע לבן המוצר מאוד איכותי רק שהוא מרגיש פלסטיקי המוצר מבית samsung mobile עושה את העבודה בצורה הטובה ביותר",Positive
"אני משתמש בפלאפון הזה כבר קרוב לחצי שנה ומה שיש לי לומר עליו זה שהוא פלאפון מ ד ה י ם",Positive
"אפילו אייפון 5 כלום לידו",Positive
"זוהי דעתי ואני יכול רק לשבח אותו ובגלל זה אני ממליץ עליו בחום",Positive
"מכשיר בסה כ מצויין קניתי ומרוצה",Positive
"יותר משוכלל מאייפון ברמת הגימיקים שלא קיימים בטלפונים אחרים",Positive
"אז ככה קניתי לאחר התלבטות של ארבעה חודשים את הגלקסי אס 3 ואני מוכרח להגיד שהמכשיר הזה הוא פלא",Positive
"מה אומר? רק שבחים יש לי על המכשיר הזה",Positive
"ברשותי כבר 6 חודשים מכשיר מעולה",Positive
"מכשיר שני במשפחה לאחר הצלחה של הראשון החלטנו לרכוש עוד אחד ולא ללכת למתחרים שלו",Positive
"וכרגיל אין אכזבות מהמכשיר",Positive
"מכשיר מעולה גרסת אנדרואיד 4 1 2 מקורית שלא קורסת ולא נתקעת בניגוד לגרסא 4 0 4 הקודמת",Positive
"בכללי מדובר במכשיר מעולה",Positive
"לפני הקניה מאוד התלבטתי בין נקסוס 5 לlg g2 ב ה לקחתי את הlg g2 ואני לא מתחרט לרגע",Positive
"מכשיר מעולה אני משתמש ב 90% מהפונקציונאליות שהוא מציע ואין לי אפילו מילה רעה אחת להגיד עליו",Positive
"יש לי את הטלפון הזה שלושה חודשים וגם נכון לכתיבת שורות אלה הוא אחד מהטלפונים הטובים ביותר",Positive
"מכשיר סוס",Positive
"קניתי את הטלפון הזה לפני שבועיים ואני מרוצה ממנו מאוד",Positive
"הטלפון הזה יותר טוב מגלקסי 4 כי לפני שקניתי את הhtc היה לי גלקסי 4 והייתי מרוצה אבל עכשיו שקניתי את הhtc הבנתי מזה טלפון ברמה",Positive
"קניתי לפני 4 חודשים את הטלפון המכשיר הכי טוב שקיים כרגע בשוק",Positive
"קניתי לפני חודשיים המכשיר מצוין",Positive
"שטויות המכשיר הזה חבל על הזמן אין כמוהו בלי מתחרה עזוב אותך אין",Positive
"המכשיר הזה כבר איתי חודש ואני מת עליו שהייתי חולם עליו מאז שהופיע בפרסומות לדעתי המכשיר הזה מהטובים בעולם הסמארטפונים",Positive
"אם מאחדים את כל מה שכתבתי למעלה אפשר להבין שהמכשיר מספק חווית המולטימדיה המושלמת",Positive
"סה כ אני לא מתחרט על הקנייה שלי מכשיר שנותן תמורה מצויינת לכסף",Positive
"מכשיר מדהים גדול 5 5 אך נוח לאחיזה ביד לגברים מהיר ונוח",Positive
"מי שלא מכיר שידע כי אלו הסמרטפונים htc הטובים ביותר בכל השוואה שהיא ובעינין השרות הם לא מתקלקלים ולעולם לא נתקעים",Positive
"במילה אחת הסמארטפון הטוב בעולם נ ק ו ד ה מותג על",Positive
"מכשיר בנוי לתלפיות איכותי להפליא פשוט מכשיר חלומי",Positive
"המכשיר שלקח את כל היתרונות של כל החברות הגדולות",Positive
"רכשתי את המכשיר לפני שבוע ואני ממש מרוצה מימנו",Positive
"לא מצטער לרגע על הרכישה מומלץ בכל לב",Positive
"טלפון איכותי בנוי לתלפיות תצוגה מעולה וסאונד אוי אוי אוי מעולה הכי טובה שיש ביטס",Positive
"בקיצור הפלאפון שלדעתי מספר 1 היום",Positive
"לאחר חפירה מעמיקה באתרים שונים בחו ל קיבלתי החלטה לרכוש את המכשיר וממש הופתעתי לטובה",Positive
"אני בכל מקרה מרוצה מאוד וממליץ עליו מכל הלב במיוחד לחובבי אנדרואיד נקי",Positive
"אין ספק שלא טעיתי לשימושים שלי ה htc פשוט מושלם גם הגלקסי אחלה מכשיר אין ספק",Positive
"בקיצור רואים שמחלקת ההנדסה של htc עבדה שעות נוספות מומלץ מומלץ מומלץ מומלץ",Positive
"מכשיר נהדר נוח וקל לשימוש",Positive
"פלאפון אדיר",Positive
"התלבטתי המון זמן לגבי פלאפונים שונים אולי אייפון אולי גלקסי לבסוף בחרתי את זה וזה הבחירה הכי טובה שיכולתי לעשות",Positive
"ממליצה בחום ;",Positive
"בסך הכל המכשיר מצוין",Positive
"לפי סקירות ברשת תשאולים של חברים שרכשו ומעט מאוד משחק עם המכשיר בצורה פיזית אני ואשתי מיד הצלחנו להבין שכפי הנראה מדובר באחד ממכשירי האנדרואיד הטובים ביותר אם לא ה",Positive
"המכשיר עבד לא רע בכלל הרמקולים משובחים הממשק נחמד והמצלמה מצלמת בחושך בצורה פנטסטית משהו בלתי שגרתי לחלוטין רק שבצילומים רגילים אין לה שום יתרון על המתחרים ונהפוך הוא",Positive
"פלאפון ממש טוב קניתי אותו בחנות בעמק איפשהו והמוכר שם מסביר הכל",Positive
"ממליץ לכם בחום לקנות",Positive
"מכשיר מעולה",Positive
"מכשיר מצויין",Positive
"מומלץ החום",Positive
"טלפון מצויין שידרוג של s3 הידוע והמוכר רק עם זיכרון גדול יותר gps עובד מהר מאוד הבעיה היחידה היא הסוללה שמתרוקנת בדומה ל s3 די מהר",Positive
"ממש אהבתי באמת כל הכבוד לlg על טלפון מצוין",Positive
"המכשיר פשוט טוב מאוד הכל תקין יושב טוב על היד בהחלט מהיר מצלמה טובה",Positive
"חוויה ממדרגה ראשונה נהניתי מכל רגע",Positive
"טלפון מעולה",Positive
"מכשיר מצוין",Positive
"קניתי לאישתי והזמנתי לעצמי",Positive
"המכשיר אצלי כבר 3 חודשים ואני מאוד מרוצה",Positive
"מכשיר מעולה מריץ משחקים באיכות גבוהה",Positive
"מכשיר מצויין רכשתי לפני כמה חודשים ואני נהנה מכל רגע",Positive
"המכשיר מומלץ מאוד",Positive
"כל הכבוד למוטרולה שהוציאו כזה מכשיר מדהים בכזה מחיר מדהים",Positive
"ואני מאוד מרוצה",Positive
"יש בטלפון כל דבר שצריך",Positive
"בקיצור מכשיר מצוין",Positive
